data,imab5
25-08-2006,1.227871679
28-08-2006,1.228405197
29-08-2006,1.228175548
30-08-2006,1.229053081
31-08-2006,1.235833319
01-09-2006,1.239378654
04-09-2006,1.240798007
05-09-2006,1.239136345
06-09-2006,1.236117358
08-09-2006,1.237107244
11-09-2006,1.236693510
12-09-2006,1.237488375
13-09-2006,1.239120931
14-09-2006,1.240945645
15-09-2006,1.243392319
18-09-2006,1.245288997
19-09-2006,1.245109102
20-09-2006,1.243882068
21-09-2006,1.236931529
22-09-2006,1.239826806
25-09-2006,1.238924671
26-09-2006,1.241525715
27-09-2006,1.241015050
28-09-2006,1.241313770
29-09-2006,1.244230758
02-10-2006,1.248933602
03-10-2006,1.249226946
04-10-2006,1.251778701
05-10-2006,1.253337003
06-10-2006,1.255714620
09-10-2006,1.258002160
10-10-2006,1.259862503
11-10-2006,1.259709180
13-10-2006,1.262133717
16-10-2006,1.262414845
17-10-2006,1.262219794
18-10-2006,1.263448529
19-10-2006,1.264950710
20-10-2006,1.266917386
23-10-2006,1.267437192
24-10-2006,1.267201445
25-10-2006,1.269511711
26-10-2006,1.271515205
27-10-2006,1.275179132
30-10-2006,1.276325180
31-10-2006,1.277723190
01-11-2006,1.281618814
03-11-2006,1.283671364
06-11-2006,1.284111912
07-11-2006,1.285841339
08-11-2006,1.285783883
09-11-2006,1.286255800
10-11-2006,1.287492998
13-11-2006,1.288329716
14-11-2006,1.291462453
16-11-2006,1.293088601
17-11-2006,1.292483998
20-11-2006,1.293116006
21-11-2006,1.294968655
22-11-2006,1.295939343
23-11-2006,1.296250178
24-11-2006,1.296457861
27-11-2006,1.295479510
28-11-2006,1.295701410
29-11-2006,1.297655429
30-11-2006,1.299104511
01-12-2006,1.299540683
04-12-2006,1.300007531
05-12-2006,1.302332818
06-12-2006,1.303625076
07-12-2006,1.307221229
08-12-2006,1.309440953
11-12-2006,1.312925944
12-12-2006,1.312776511
13-12-2006,1.315018019
14-12-2006,1.316439222
15-12-2006,1.318821011
18-12-2006,1.321078794
19-12-2006,1.320012087
20-12-2006,1.321260640
21-12-2006,1.321903979
22-12-2006,1.323848311
26-12-2006,1.325995315
27-12-2006,1.328124564
28-12-2006,1.330370912
29-12-2006,1.331083862
02-01-2007,1.337082339
03-01-2007,1.338556879
04-01-2007,1.337110963
05-01-2007,1.336089454
