data,valor
2020-04-07,2483.4199
2020-04-06,2438.1101
2020-04-03,2417.7400
2020-04-02,2445.7400
2020-04-01,2464.2900
2020-03-31,2494.1001
2020-03-30,2477.3000
2020-03-27,2468.8501
2020-03-26,2443.2400
2020-03-25,2360.0500
2020-03-24,2230.2100
2020-03-23,2169.2600
2020-03-20,2276.6001
2020-03-19,2207.2700
2020-03-18,2187.3799
2020-03-17,2520.8999
2020-03-16,2575.8101
2020-03-13,2701.0701
2020-03-12,2661.4099
2020-03-11,2848.5100
2020-03-10,2901.6799
2020-03-09,2861.0300
2020-03-06,2966.3301
2020-03-05,2993.9500
2020-03-04,3002.8000
2020-03-03,2999.0901
2020-03-02,2985.3301
2020-02-28,2963.8101
2020-02-27,2972.4600
2020-02-26,2972.6799
2020-02-21,3017.5701
2020-02-20,3013.1201
2020-02-19,3012.9199
2020-02-18,3025.3601
2020-02-17,3046.9500
2020-02-14,3048.9299
2020-02-13,3039.6001
2020-02-12,3034.2000
2020-02-11,3020.3101
2020-02-10,3004.5701
2020-02-07,3028.2800
2020-02-06,3042.8701
2020-02-05,3048.4500
2020-02-04,3058.5500
2020-02-03,3056.0000
2020-01-31,3077.2800
2020-01-30,3076.0500
2020-01-29,3087.8999
2020-01-28,3100.0901
2020-01-27,3092.2300
2020-01-24,3119.9099
2020-01-23,3121.2100
2020-01-22,3120.3999
2020-01-21,3126.0801
2020-01-20,3139.2200
2020-01-17,3151.0701
2020-01-16,3162.3000
2020-01-15,3175.2000
2020-01-14,3182.5300
2020-01-13,3179.3999
2020-01-10,3174.9500
2020-01-09,3167.4900
2020-01-08,3183.9500
2020-01-07,3239.8101
2020-01-06,3249.5000
2020-01-03,3253.7600
2020-01-02,3225.1499
2019-12-30,3197.5801
2019-12-27,3169.3000
2019-12-26,3134.8000
2019-12-23,3085.8201
2019-12-20,3051.8000
2019-12-19,3026.2700
2019-12-18,3011.5901
2019-12-17,2996.6201
2019-12-16,2989.9600
2019-12-13,2981.0400
2019-12-12,2971.8301
2019-12-11,2958.7800
2019-12-10,2945.8601
2019-12-09,2934.7100
2019-12-06,2931.2700
2019-12-05,2919.1699
2019-12-04,2916.2800
2019-12-03,2907.5200
2019-12-02,2891.7500
2019-11-29,2890.2600
2019-11-28,2884.4800
2019-11-27,2877.2600
2019-11-26,2876.5901
2019-11-25,2872.5500
2019-11-22,2872.0901
2019-11-21,2859.1499
2019-11-19,2852.1499
2019-11-18,2838.3501
2019-11-14,2829.7200
2019-11-13,2824.7900
2019-11-12,2827.7700
2019-11-11,2828.6599
2019-11-08,2833.0500
2019-11-07,2826.5100
2019-11-06,2813.6399
2019-11-05,2802.3799
2019-11-04,2804.8899
2019-11-01,2795.7500
2019-10-31,2791.9800
2019-10-30,2778.2100
2019-10-29,2769.7000
2019-10-28,2769.0400
2019-10-25,2766.3999
2019-10-24,2758.9099
2019-10-23,2755.3899
2019-10-22,2747.4500
2019-10-21,2741.2700
2019-10-18,2726.2600
2019-10-17,2717.3101
2019-10-16,2715.7200
2019-10-15,2706.0901
2019-10-14,2697.4700
2019-10-11,2696.6299
2019-10-10,2689.0400
2019-10-09,2684.6101
2019-10-08,2682.9600
2019-10-07,2681.5300
2019-10-04,2682.4900
2019-10-03,2676.0400
2019-10-02,2676.9099
2019-10-01,2677.0100
2019-09-30,2684.2600
2019-09-27,2677.7800
2019-09-26,2669.5400
2019-09-25,2672.3601
2019-09-24,2667.8601
2019-09-23,2666.5801
2019-09-20,2667.6399
2019-09-19,2664.4900
2019-09-18,2659.0000
2019-09-17,2658.9800
2019-09-16,2655.7400
2019-09-13,2658.1599
2019-09-12,2655.6499
2019-09-11,2652.1699
2019-09-10,2657.6399
2019-09-09,2658.0901
2019-09-06,2659.7100
2019-09-05,2660.3101
2019-09-04,2662.1399
2019-09-03,2657.4299
2019-09-02,2656.7200
2019-08-30,2656.6899
2019-08-29,2639.4399
2019-08-28,2632.1699
2019-08-27,2624.2300
2019-08-26,2621.4299
2019-08-23,2627.4500
2019-08-22,2626.3401
2019-08-21,2625.5000
2019-08-20,2623.9800
2019-08-19,2633.3701
2019-08-16,2637.1299
2019-08-15,2627.0500
2019-08-14,2629.3201
2019-08-13,2635.8799
2019-08-12,2629.1899
2019-08-09,2638.8899
2019-08-08,2650.8501
2019-08-07,2653.3501
2019-08-06,2649.5500
2019-08-05,2647.2700
2019-08-02,2661.5000
2019-08-01,2653.1799
2019-07-31,2659.5500
2019-07-30,2650.1499
2019-07-29,2644.1699
2019-07-26,2633.7500
2019-07-25,2625.7800
2019-07-24,2628.5801
2019-07-23,2626.8501
2019-07-22,2621.8601
2019-07-19,2624.7100
2019-07-18,2628.9199
2019-07-17,2628.5000
2019-07-16,2623.5300
2019-07-15,2620.0901
2019-07-12,2624.1799
2019-07-11,2625.3999
2019-07-10,2628.6599
2019-07-08,2637.8799
2019-07-05,2641.2200
2019-07-04,2634.8701
2019-07-03,2639.0200
2019-07-02,2630.8899
2019-07-01,2628.5901
2019-06-28,2626.1001
2019-06-27,2609.3799
2019-06-26,2604.7200
2019-06-25,2598.1399
2019-06-24,2598.1001
2019-06-21,2592.5500
2019-06-19,2580.4900
2019-06-18,2573.3501
2019-06-17,2563.8401
2019-06-14,2561.2400
2019-06-13,2559.0601
2019-06-12,2559.7300
2019-06-11,2560.2900
2019-06-10,2565.0601
2019-06-07,2567.9900
2019-06-06,2560.6001
2019-06-05,2558.8601
2019-06-04,2557.3000
2019-06-03,2557.0000
2019-05-31,2552.6899
2019-05-30,2543.7600
2019-05-29,2528.6399
2019-05-28,2522.4800
2019-05-27,2519.2000
2019-05-24,2517.5701
2019-05-23,2510.4600
2019-05-22,2509.9700
2019-05-21,2503.3601
2019-05-20,2497.6599
2019-05-17,2497.3601
2019-05-16,2496.8799
2019-05-15,2491.0400
2019-05-14,2488.8701
2019-05-13,2484.2300
2019-05-10,2491.9900
2019-05-09,2493.3000
2019-05-08,2496.4600
2019-05-07,2496.0601
2019-05-06,2496.2600
2019-05-03,2505.4700
2019-05-02,2503.6799
2019-04-30,2508.4500
2019-04-29,2498.4299
2019-04-26,2498.0200
2019-04-25,2491.3000
2019-04-24,2492.8501
2019-04-23,2493.8701
2019-04-22,2491.7000
2019-04-18,2492.3799
2019-04-17,2486.9700
2019-04-16,2483.8701
2019-04-15,2487.8601
2019-04-12,2483.0500
2019-04-11,2486.5300
2019-04-10,2481.7900
2019-04-09,2481.7400
2019-04-08,2480.3999
2019-04-05,2484.6201
2019-04-04,2485.9299
2019-04-03,2486.1799
2019-04-02,2482.5200
2019-04-01,2481.8301
2019-03-29,2482.9199
2019-03-28,2476.5400
2019-03-27,2474.0000
2019-03-26,2480.7900
2019-03-25,2473.9700
2019-03-22,2471.3501
2019-03-21,2481.8799
2019-03-20,2483.0500
2019-03-19,2480.1699
2019-03-18,2485.3501
2019-03-15,2482.7700
2019-03-14,2471.0000
2019-03-13,2464.9099
2019-03-12,2464.6799
2019-03-11,2463.5000
2019-03-08,2460.0701
2019-03-07,2457.0901
2019-03-06,2451.6799
2019-03-01,2444.3601
2019-02-28,2434.5601
2019-02-27,2420.8799
2019-02-26,2409.4600
2019-02-25,2403.9299
2019-02-22,2413.8999
2019-02-21,2409.8201
2019-02-20,2418.2600
2019-02-19,2413.1899
2019-02-18,2413.4800
2019-02-15,2406.9099
2019-02-14,2404.0100
2019-02-13,2403.9600
2019-02-12,2403.8101
2019-02-11,2405.9099
2019-02-08,2402.6101
2019-02-07,2400.8301
2019-02-06,2398.7100
2019-02-05,2404.1399
2019-02-04,2405.5701
2019-02-01,2407.8701
2019-01-31,2409.6899
2019-01-30,2398.0400
2019-01-29,2392.9600
2019-01-28,2380.5701
2019-01-24,2387.9800
2019-01-23,2390.3701
2019-01-22,2395.4900
2019-01-21,2396.4099
2019-01-18,2398.2100
2019-01-17,2390.5100
2019-01-16,2390.7600
2019-01-15,2386.3401
2019-01-14,2388.0200
2019-01-11,2388.4299
2019-01-10,2387.9700
2019-01-09,2392.5601
2019-01-08,2390.1399
2019-01-07,2389.2900
2019-01-04,2385.0901
2019-01-03,2379.1799
2019-01-02,2367.7500
2018-12-28,2351.5901
2018-12-27,2344.9299
2018-12-26,2332.1299
2018-12-21,2330.0701
2018-12-20,2311.4700
2018-12-19,2310.0300
2018-12-18,2310.1299
2018-12-17,2305.4800
2018-12-14,2305.3799
2018-12-13,2299.1399
2018-12-12,2293.6499
2018-12-11,2298.5500
2018-12-10,2295.9299
2018-12-07,2296.0200
2018-12-06,2294.6001
2018-12-05,2294.9500
2018-12-04,2293.6899
2018-12-03,2302.0901
2018-11-30,2300.4700
2018-11-29,2300.0500
2018-11-28,2290.5300
2018-11-27,2287.2600
2018-11-26,2288.0701
2018-11-23,2283.6699
2018-11-22,2283.0200
